"","direction","svarAddr","routeName","telNo","serviceAreaCode","serviceAreaName","brand","routeCode","serviceAreaCode2","convenience","maintenanceYn","truckSaYn"
"32","대구","대구 달성군 논공읍삼리 462-1","광주대구선,무안광주선","070-4304-0620","A00226","논공(옥포)휴게소","드롭탑 외 1","0120","000399","","X","X"
"33","대구","전라북도 순창군 순창읍 88올림픽고속도로 22(백산리 927-1)","광주대구선","063-653-3050","A00237","강천산(대구)휴게소","로띠번","0122","000418","","X","X"
"34","대전","충남 논산시 벌곡면양산리124-1","호남선의 지선","041-734-5250","A00042","벌곡(대전)휴게소","엔제리너스 외 1","2510","000238","","X","O"
"35","대전","경남 산청군 단성면방목리 산71-7","통영대전선","055-973-5970","A00098","산청(대전)휴게소","엔제리너스 외 2","0351","000165","","X","X"
"36","대전","충남 금산군 군북면대암길 34-30","통영대전선","041-754-9200","A00104","금산인삼랜드(대전)휴게소","던킨도너츠 외 1","0351","000153","","X","X"
"37","대전","전라북도 무주군 안성면공진리 471","통영대전선","063-353-4200","A00114","덕유산(대전)휴게소","탐앤탐스 외 1","0351","000157","","X","X"
"38","대전","경남 함양군 지곡면보산리 278-6","통영대전선,중부선","055-963-8001","A00129","함양(하남)휴게소","-","0350","000161","","X","X"
"39","대전","경남 고성군 대가면신전리 85번지","통영대전선","055-674-0494","A00152","고성공룡나라(대전)휴게소","엔제리너스 외 3","0351","000289","","X","X"
"40","대전","충남 공주시 장기면송선리 320-3","당진영덕선","041-854-6060","A00170","공주(대전)휴게소","공차 외 2","0300","000318","","X","X"
"41","대전","충남 예산군 신양면서계양리 662-28","당진영덕선","041-334-0094","A00174","예산(대전)휴게소","파스쿠찌 외 2","0300","000314","","X","O"
"42","목포","경기도 화성군 팔탄면덕천리 102-1","서해안선","031-353-8140","A00015","화성(목포)휴게소","할리스 외 3","0150","000093","","X","X"
"43","목포","충남 보령시 주교면주교리 933-5","서해안선","041-931-6901","A00109","대천(목포)휴게소","드롭탑","0150","000103","","O","X"
"44","목포","충청남도 서산시 해미면삼송리 119","서해안선","041-688-8814","A00117","서산(목포)휴게소","롯데리아 외 2","0150","000098","","O","X"
"45","목포","전라북도 군산시 성산면산곡리 산1","서해안선","063-453-0402","A00119","군산(목포)휴게소","탐앤탐스 외 1","0150","000108","","X","X"
"46","목포","전북 고창군 신림면벽송리 557-10","서해안선","063-561-6313","A00123","고창고인돌(목포)휴게소","드롭탑","0150","000110","","O","X"
"47","목포","전남 함평군 함평읍장교리 산112-13","서해안선","061-323-3751","A00124","함평천지(목포)휴게소","카페베네 외 2","0150","000117","","X","X"
"48","목포","충남 홍성군 은하면금국리 292-3","서해안선","041-642-1151","A00139","홍성(목포)휴게소","탐앤탐스 외 1","0150","000254","","X","X"
"49","목포","충남 서천군 비인면서해안고속도로169(성산리)","서해안선","041-952-5757","A00151","서천(목포)휴게소","할리스 외 3","0150","000262","","X","X"
"50","목포","경상북도 영천시 신녕면 치산효령로 989-23","상주영천선","031-296-1501","A00267","삼국유사군위(상주)휴게소","할리스 외 2","3010","000521","","X","O"
"51","목포","전북 부안군 주산면 서해안고속도로103","서해안선","063-776-8003","A00306","부안고려청자(목포)휴게소","할리스 외 1","0150","000586","","X","O"
"52","무안","전남 함평군 엄다면화양리 1025-3번지","무안광주선","061-324-8858","A00156","함평나비(무안)휴게소","탐앤탐스 외 1","0121","000270","","X","X"
"53","복합","경기 시흥시 조남동서울외곽순환고속도로","수도권제1순환선","031-683-4800","A00268","시흥하늘휴게소","할리스 외 2","1000","000530","","X","O"
"54","부산","서울 서초구 원지동10-16","경부선","02-578-3372","A00001","서울만남(부산)휴게소","탐앤탐스 외 5","0010","000001","","X","X"
"55","부산","경기 용인시 기흥구공세로 173 기흥휴게소","경부선","031-286-5001","A00003","기흥(부산)휴게소","탐앤탐스 외 3","0010","000005","","X","X"
"56","부산","경기 안성시 원곡면경부고속도로 365","경부선","031-655-0531","A00005","안성(부산)휴게소","드롭탑 외 5","0010","000009","","X","X"
"57","부산","강원 원주시 신림면금창리(치악로)416 치악(부산)휴게소","중앙선","033-762-9234","A00028","치악(부산)휴게소","할리스 외 3","0550","000217","","X","X"
"58","부산","충남 천안시 성거읍요방리 121","경부선","041-557-4000","A00030","망향(부산)휴게소","탐앤탐스 외 2","0010","000013","","O","X"
"59","부산","충북 청원군 옥산면오산리 589-15","경부선","043-260-1053","A00032","옥산(부산)휴게소","할리스 외 2","0010","000021","","O","O"
"60","부산","충남 천안시 수신면신풍리 447-3","경부선","041-552-4560","A00034","천안호두(부산)휴게소","탐앤탐스 외 2","0010","000017","","X","X"
"61","부산","충북 청주시 서원구 현도면 경부고속도로 289","경부선","043-269-0850","A00036","죽암(부산)휴게소","롯데리아 외 3","0010","000026","","X","X"
"62","부산","충북 옥천군 동이면조령리 568","경부선","043-731-2233","A00037","금강(부산)휴게소","롯데리아 외 2","0010","000034","","O","X"
"63","부산","충북 영동군 황간면회포리 103-2","경부선","043-742-5805","A00049","황간(부산)휴게소","할리스 외 2","0010","000036","","X","X"
"64","부산","전남 광양시 진월면신아리 1192-1","남해선","061-772-7986","A00054","섬진강(부산)휴게소","로띠번","0100","000077","","X","X"
"65","부산","경북 김천시 봉산면광천리 691","경부선","054-430-2000","A00068","추풍령(부산)휴게소","할리스 외 2","0010","000040","","O","O"
"66","부산","경북 경산시 진량읍경부고속도로105","경부선","053-852-8651","A00071","평사(부산)휴게소","엔제리너스","0010","000050","","X","O"
"67","부산","경북 칠곡군 왜관읍아곡리(경부고속도로) 159","경부선","054-975-2277","A00072","칠곡(부산)휴게소","탐앤탐스 외 1","0010","000044","","X","O"
"68","부산","경북 경주시 건천읍방내리 14","경부선","054-751-6890","A00078","건천(부산)휴게소","엔제리너스 외 1","0010","000054","","X","X"
"69","부산","경북 안동시 풍산읍계평리 산547-6","중앙선","054-853-4370","A00079","안동(부산)휴게소","엔제리너스 외 2","0550","000225","","X","X"
"70","부산","경북 군위군 군위읍오곡리 산67-5","중앙선","054-383-6114","A00081","군위(부산)휴게소","할리스 외 1","0550","000229","","X","X"
"71","부산","경남 김해시 진영읍우동리(하계로96번길)94-4","남해선","055-334-8700","A00085","진영(부산)휴게소","CU 외 7","0100","000063","","X","X"
"72","부산","울산광역시 울주군 언양읍태기리 684-1","경부선","055-383-6145","A00088","언양(부산)휴게소","탐앤탐스","0010","000059","","X","X"
"73","부산","경남 사천시 곤양면묵곡리(서삼로) 619번길","남해선","055-854-3134","A00097","사천(부산)휴게소","할리스","0100","000073","","X","X"
"74","부산","충북 옥천군 옥천읍매화리 236-16","경부선","043-731-8521","A00103","옥천(부산)휴게소","할리스 외 3","0010","000030","","O","O"
"75","부산","경북 경주시 내남면월산리","경부선","054-748-3195","A00107","경주(부산)휴게소","드롭탑 외 1","0010","000055","","X","O"
"76","부산","충청북도 단양군 적성면기동리 산74-1","중앙선","043-423-5403","A00112","단양팔경(부산)휴게소","할리스 외 2","0550","000223","","X","X"
"77","부산","강원 춘천시 동내면 사암리산112-1","중앙선","033-264-0500","A00131","춘천(부산)휴게소","놀부부대찌개 외 2","0550","000211","","X","X"
"78","부산","경북 칠곡군 동명면가천리 120-2","중앙선","054-977-6921","A00134","동명(부산)휴게소","탐앤탐스","0550","000249","","X","X"
"79","부산","강원 원주시 호저면옥산리 211","중앙선","033-731-4291","A00148","원주(부산)휴게소","엔제리너스 외 2","0550","000299","","X","X"
"80","부산","경북 김천시 농소면신촌리 730-2","경부선","054-435-0211","A00184","김천(부산)휴게소","파스쿠찌","0010","000342","","X","O"
"81","부산","경남 진주시 호탄동382 외 62필지","남해선","055-759-3205","A00185","진주(부산)휴게소","던킨도너츠 외1","0100","000347","","X","X"
"82","부산","경남 함안군 군북면유현리 산 993-6","남해선","055-582-2191","A00186","함안(부산)휴게소","탐앤탐스 외 4","0100","000344","","X","O"
"83","부산","경상북도 경주시 외동읍 내외로 577-189상석길 58-74","울산포항선","054-745-0637","A00247","외동(부산)휴게소","탐앤탐스 외 3","0652","000441","","X","X"
"84","삼척","강원도 동해시 망상동산5-1","동해선","033-534-6631","A00025","동해(삼척)휴게소","드롭탑 외 1","0650","000233","","X","X"
"85","삼척","강원 강릉시 구정면제비리 888","동해선","033-644-8345","A00137","구정(삼척)휴게소","탐앤탐스","0650","000267","","X","X"
"86","서부산","경남 김해시 장유면부곡리 53-1","남해제2지선","055-313-2610","A00083","장유(서부산)휴게소","엔제리너스 외 2","1040","000236","","X","X"
"87","서울","경기 용인시 죽전2동866-2 ","경부선","031-262-3168","A00002","죽전(서울)휴게소","파스쿠찌 외 1","0010","000003","","X","X"
"88","서울","경기 안성시 원곡면산하리(경부고속도로 372)","경부선","031-611-5793","A00004","안성(서울)휴게소","롯데리아 외 3","0010","000007","","X","O"
"89","서울","경기도 화성군 팔탄면덕천리 102-3","서해안선","031-353-8143","A00014","화성(서울)휴게소","할리스 외 4","0150","000092","","X","X"
"90","서울","충남 천안시 구성동171","경부선","041-551-2480","A00033","천안삼거리(서울)휴게소","탐앤탐스 외 3","0010","000015","","X","X"
"91","서울","충북 청원군 현도면죽전리 314","경부선","043-260-8035","A00035","죽암(서울)휴게소","엔제리너스 외 3","0010","000024","","O","X"
"92","서울","충북 옥천군 옥천읍매화리(옥천동이로) 옥천동이로 242-34","경부선","043-731-8097","A00047","옥천(서울)휴게소","할리스 외 2","0010","000032","","O","X"
"93","서울","충북 영동군 황간면회포리 114","경부선","043-742-7633","A00048","황간(서울)휴게소","할리스 외 2","0010","000038","","X","X"
"94","서울","충남 천안시 입장면가산리 361-7","경부선","041-588-7868","A00050","입장거봉포도(서울)휴게소","탐앤탐스 외 1","0010","000011","","O","O"
"95","서울","경북 김천시 봉산면광천리 737-1","경부선","054-439-3187","A00067","추풍령(서울)휴게소","할리스 외 2","0010","000042","","O","O"
"96","서울","경북 칠곡군 왜관읍아곡리 138","경부선","054-975-1883","A00069","칠곡(서울)휴게소","탐앤탐스 외 1","0010","000046","","O","O"
"97","서울","경북 경산시 진량면신상리 995-3","경부선","053-852-5243","A00070","경산(서울)휴게소","엔제리너스 외 3","0010","000048","","X","O"
"98","서울","경북 경주시 건천읍금척리 683-2","경부선","054-751-7401","A00077","건천(서울)휴게소","던킨도너츠 외 1","0010","000052","","X","X"
"99","서울","울산광역시 울주군 언양읍반곡리 966-14","경부선","052-263-6153","A00086","언양(서울)휴게소","탐앤탐스 외 2","0010","000057","","X","O"
"100","서울","대전시 대덕구 상서동236-1","경부선","042-934-2442","A00102","신탄진(서울)휴게소","탐앤탐스 외 1","0010","000028","수유실|수면실|샤워실|","O","O"
"101","서울","충남 보령시 주교면주교리 904-34","서해안선","041-931-6801","A00108","대천(서울)휴게소","드롭탑","0150","000102","내고장특산물|","O","X"
"102","서울","충청남도 서산시 해미면삼송리 산46-2","서해안선","041-688-7714","A00116","서산(서울)휴게소","탐앤탐스 외 1","0150","000100","","O","X"
"103","서울","전북 군산시 나포면서해안고속도로 3182","서해안선","063-453-2818","A00118","군산(서울)휴게소","카페베네 외 2","0150","000106","세탁실|","X","O"
"104","서울","전북 고창군 고창읍신월리 66-1","서해안선","063-561-6323","A00122","고창고인돌(서울)휴게소","드롭탑","0150","000112","","X","O"
"105","서울","전라남도 함평군 손불면죽암리 29-1","서해안선","061-323-3641","A00125","함평천지(서울)휴게소","탐앤탐스 외 2","0150","000115","","X","X"
"106","서울","충북 청원군 옥산면 장남리284-16","경부선","043-237-1700","A00126","청주(서울)휴게소","엔제리너스 외 1","0010","000019","","X","O"
"107","서울","경남 양산시 동면 내송리788번지","경부선","055-384-0144","A00132","양산(서울)휴게소","할리스 외 1","0010","000062","","X","X"
"108","서울","경기 이천시 부발읍아미리","서해안선","041-642-1172","A00138","홍성(서울)휴게소","탐앤탐스 외 1","0150","000253","","X","X"
"109","서울","충남 서천군 비인면성산리 22-4","서해안선","041-952-9700","A00150","서천(서울)휴게소","드롭탑 외 1","0150","000261","","X","X"
"110","서울","경북 김천시 농소면신촌리 728-1","경부선","054-433-1523","A00163","김천(서울)휴게소","파스쿠찌","0010","000306","","X","O"
"111","서울","경기 시흥시 목감동125 외9필지","서해안선","031-411-0590","A00178","목감(서울)휴게소","탐앤탐스 외 1","0150","000326","","X","X"
"112","서울","대전광역시 서구 대덕대로220번길 46(둔산동)","서울양양선","033-436-9000","A00261","홍천(서울)휴게소","엔제리너스 외 2","0600","000509","","X","X"
"113","서울","경상북도 영천시 신녕면 치산효령로 865-43","상주영천선","031-295-1501","A00266","군위영천(영천)휴게소","할리스","3010","000520","","X","O"
"114","서울","전북 부안군 주산면 서해안고속도로106","서해안선","063-776-7002","A00305","부안고려청자(서울)휴게소","할리스 외 1","0150","000585","","X","O"
"115","서천","충남 부여군 내산면율암리 149-5","서천공주선","041-834-5600","A00172","부여백제(공주)휴게소","카페베네 외 1","1510","000320","","X","X"
"116","속초","강원 강릉시 옥계면도직리 산2-2","동해선","033-534-1700","A00135","옥계(속초)휴게소","드롭탑 외 2","0650","000301","","X","X"
"117","속초","강원 강릉시 구정면동해고속도로 346","동해선","033-644-4760","A00136","구정(속초)휴게소","코바코 외 1","0650","000274","","X","X"
"118","순천","전북 익산시 여산면호산리 32-6","호남선","063-836-5280","A00045","여산(순천)휴게소","로띠번 외 2","0251","000119","","X","O"
"119","순천","전북 정읍시 북면남산리 19-1","호남선","063-532-0510","A00052","정읍녹두장군(순천)휴게소","탐앤탐스 외 4","0251","000123","","X","X"
"120","순천","전남 광양시 진월면신아리 1192-1","남해선","061-772-7993","A00053","섬진강(순천)휴게소","로띠번 외 1","0100","000078","","X","X"
"121","순천","전남 순천시 주암면고산리 252-2","호남선","061-754-4980","A00055","주암(순천)휴게소","탐앤탐스 외 2","0251","000134","","X","X"
"122","순천","전라남도 장성군 북이면 호남고속도로 107 (백양사휴게소(하))","호남선","061-394-9990","A00061","백양사(순천)휴게소","서울도너츠 외 2","0251","000127","","X","X"
"123","순천","전남 곡성군 겸면가정리 산96-6","호남선","061-363-2766","A00063","곡성(순천)휴게소","엔제리너스 외 2","0251","000131","","X","X"
"124","순천","전남 순천시 서면비월리 산169-2","호남선","061-755-4982","A00064","순천(순천)휴게소","로띠번 외 1","0251","000138","","X","X"
"125","순천","경남 김해시 진영읍우동리(하계로96번길) 68","남해선","055-342-3959","A00084","진영(순천)휴게소","던킨도너츠 외 4","0100","000064","","O","X"
"126","순천","경남 진주시 문산읍소문리 968-2","남해선","055-761-2820","A00091","문산(순천)휴게소","로띠번","0100","000071","","X","X"
"127","순천","경남 사천시 곤양면묵곡리 산171-31","남해선","055-854-3547","A00096","사천(순천)휴게소","할리스","0100","000074","","X","X"
"128","순천","경남 함안군 군북면유현리 산 993-1","남해선","055-582-5470","A00187","함안(순천)휴게소","탐앤탐스 외 5","0100","000348","","X","X"
"129","순천","서울 송파구 송파동185-5","호남선","063-227-4114","A00191","이서(순천)휴게소","드롭탑 외 2","0251","000355","","X","O"
"130","순천","전북 임실군 오수면오산리 675-18","순천완주선","063-644-6116","A00193","오수(순천)휴게소","탐앤탐스 외 3","0270","000361","","X","O"
"131","순천","전남 순천시 황전면선변리 560-7","순천완주선","061-782-1135","A00196","황전(순천)휴게소","던킨도너츠 외 1","0270","000364","","X","X"
"132","순천","전남 보성군 겸백면수남리 385-3","남해선","070-4325-8808","A00225","보성녹차(순천)휴게소","할리스 외 1","0100","000400","","X","X"
"133","양양","대전광역시 서구 대덕대로220번길 46(둔산동)","서울양양선","033-436-3000","A00262","홍천(양양)휴게소","탐앤탐스 외 1","0600","000510","","X","X"
"134","양평","경남 함안군 칠서면계내리 35","중부내륙선","055-587-9656","A00094","칠서(양평)휴게소","엔제리너스 외 3","0450","000179","","O","O"
"135","양평","경북 구미시 옥성면대원리 85-1","중부내륙선","054-482-6011","A00121","선산(창원)휴게소","엔제리너스 외 3","0450","000174","","X","X"
"136","양평","충북 충주시 가금면용전리 산 50-3","중부내륙선","043-857-9229","A00128","충주(창원)휴게소","탐앤탐스 외 1","0450","000170","","X","O"
"137","양평","충북 괴산군 장연면오가리 103번지","중부내륙선","043-832-6594","A00145","괴산(창원)휴게소","엔제리너스 외 2","0450","000303","","X","X"
"138","양평","경북 문경시 유곡동 중부내륙고속도로173460","중부내륙선","054-554-1610","A00147","문경(창원)휴게소","탐앤탐스","0450","000273","","X","O"
"139","양평","경북 성주군 선남면명포리 880-5","중부내륙선","054-931-5741","A00158","남성주참외(창원)휴게소","할리스 외 2","0450","000277","","X","O"
"140","양평","서울 강남구 논현동165","중부내륙선","031-885-9760","A00189","서여주(창원)휴게소","탐앤탐스 외 1","0450","000351","","X","X"
"141","양평","경북 성주군 초전면용봉리(중부내륙고속도로)","중부내륙선","054-933-0800","A00221","성주(양평)휴게소","코바코 외 2","0450","000397","","X","O"
"142","영덕","경북 상주시 화서면상용리 408","당진영덕선","054-531-1982","A00159","화서(영덕)휴게소","탐앤탐스 외 3","0300","000280","","X","X"
"143","영덕","경북 의성군 안계면새못안길 45-47","당진영덕선","054-862-9252","A00254","의성(영덕)휴게소","엔제리너스","0300","000496","","X","X"
"144","영덕","경북 청송군 파천면중평병부길 203-115","당진영덕선","054-873-9102","A00256","청송(영덕)휴게소","드롭탑 외 1","0300","000504","","X","X"
"145","영암","전남 보성군 미력면화방리 산 196-7","남해선","070-4325-8801","A00224","보성녹차(영암)휴게소","할리스 외 1","0100","000401","","X","X"
"146","완주","전북 임실군 순천완주고속도로 74","순천완주선","063-644-5115","A00194","오수(완주)휴게소","탐앤탐스 외 3","0270","000360","","X","O"
"147","완주","전남 순천시 황전면선변리 595-7","순천완주선","061-782-1154","A00197","황전(완주)휴게소","던킨도너츠 외 2","0270","000365","","X","X"
"148","울산","경기 수원시 장안구 이목동108 고속도로 이목(강릉) 졸음쉼터내","영동선","052-977-3243","A00271","이목(강릉)졸음쉼터","던킨 외 2","0500","000435","","X","O"
"149","익산","전북 진안군 진안읍단양리 171-110","완주장수선","063-432-1380","A00161","진안마이산(익산)휴게소","-","0205","000285","","X","X"
"150","인천","경기도 용인시 고림동89번지","영동선","031-339-3660","A00009","용인(인천)휴게소","던킨도너츠 외 2","0500","000208","","X","X"
"151","인천","경기도 여주시 가남읍화평길 116","영동선","031-882-2900","A00011","여주(인천)휴게소","탐앤탐스 외 2","0500","000204","","X","X"
"152","인천","강원 원주시 문막읍포진리","영동선","033-734-7471","A00013","문막(인천)휴게소","엔제리너스 외 2","0500","000199","","X","O"
"153","인천","강원 횡성군 안흥면봉화로 소사5길 29","영동선","033-342-4200","A00018","횡성(인천)휴게소","던킨도너츠 외 3","0500","000195","","X","X"
"154","인천","강원 평창군 용평면이목정리","영동선","033-333-6131","A00100","평창(인천)휴게소","나뚜르 외 1","0500","000186","","X","X"
"155","인천","강원도 강릉시 성산면보광리 산4-2","영동선","033-647-9970","A00110","강릉(인천)휴게소","엔제리너스 외 3","0500","000182","","X","X"
"156","일산","경기 구리시 사노동170-13 구리고속도로휴게소","수도권제1순환선","031-529-3564","A00199","구리(일산)휴게소","드롭탑 외 2","1000","000371","","X","X"
"157","장수","전북 진안군 진안읍단양리 333-75","완주장수선","063-432-6350","A00162","진안마이산(장수)휴게소","뚜레쥬르 외 2","0205","000286","","X","X"
"158","제천","경기 안성시 서운면신능리 51-11 외 29필지","평택제천선","031-674-4406","A00169","안성맞춤(제천)휴게소","롯데리아 외 2","0400","000333","","X","X"
"159","제천","충북 음성군 금왕읍용계리 평택제천고속도로 70","평택제천선","043-881-0001","A00233","금왕(제천)휴게소","코바코 외 2","0400","000414","","X","X"
"160","제천","충북 충주시 산척면평택제천고속도로 106","평택제천선","043-844-2991","A00240","천등산(제천)휴게소","파스쿠찌 외 1","0400","000419","","X","X"
"161","창원","경남 창녕군 영산면신제리 1471-1","중부내륙선","055-521-2978","A00016","영산(창원)휴게소","탐앤탐스 외 3","0450","000177","","X","O"
"162","창원","대구 달성군 현풍면성하리 286","중부내륙선의 지선","053-614-2436","A00090","현풍(창원)휴게소","드롭탑 외 2","4510","000244","","X","X"
"163","창원","경북 구미시 옥성면대원리 31-3","중부내륙선","054-482-6031","A00120","선산(양평)휴게소","엔제리너스 외 4","0450","000173","","X","X"
"164","창원","충북 충주시 중앙탑면 중부내륙고속도록 230-1","중부내륙선","043-857-9339","A00127","충주(양평)휴게소","탐앤탐스 외 3","0450","000169","","X","O"
"165","창원","충북 괴산군 장연면오가리 293-2","중부내륙선","043-832-7966","A00144","괴산(양평)휴게소","던킨도너츠 외 3","0450","000295","","X","X"
"166","창원","경북 문경시 유곡동458","중부내륙선","054-554-1655","A00146","문경(양평)휴게소","할리스 외 4","0450","000268","","O","O"
"167","창원","경북 성주군 용암면본리 428","중부내륙선","054-933-7105","A00160","남성주참외(양평)휴게소","할리스 외 3","0450","000278","","X","O"
"168","창원","서울 강남구 논현동 165","중부내륙선","031-884-9714","A00188","서여주(양평)휴게소","탐앤탐스 외 1","0450","000350","","X","X"
"169","창원","경북 성주군 초전면용봉리 산129-48","중부내륙선","054-932-0800","A00222","성주(창원)휴게소","코바코 외 2","0450","000396","","X","O"
"170","천안","전북 익산시 여산면호산리 24-1","호남선","063-836-5168","A00044","여산(천안)휴게소","로띠번 외 2","0251","000118","","X","X"
"171","천안","전북 정읍시 북면남산리 20-5","호남선","063-532-2373","A00051","정읍녹두장군(천안)휴게소","탐앤탐스 외 3","0251","000122","","X","X"
"172","천안","전남 곡성군 겸면가정리 347","호남선","061-362-8300","A00056","곡성(천안)휴게소","엔제리너스 외 1","0251","000130","","X","X"
"173","천안","전라남도 장성군 북일면 호남고속도로 108 (백양사휴게소(상행))박산리 158","호남선","061-394-5177","A00060","백양사(천안)휴게소","탐앤탐스 외 4","0251","000126","","X","X"
"174","천안","전남 순천시 주암면고산리 57-4","호남선","061-754-2432","A00062","주암(천안)휴게소","탐앤탐스 외 2","0251","000135","","X","X"
"175","천안","서울 송파구 송파동185-5","호남선","063-236-2592","A00190","이서(천안)휴게소","드롭탑 외 2","0251","000358","","X","O"
"176","청주","충북 보은군 마로면적암리 180외 19필지","당진영덕선","043-544-1466","A00157","속리산(청주)휴게소","탐앤탐스 외 1","0300","000279","","X","X"
"177","청주","경북 의성군 안계면새못안길 45-49","당진영덕선","054-862-9076","A00253","의성(청주)휴게소","엔제리너스","0300","000495","","X","X"
"178","청주","경북 청송군 파천면중평병부길 203-92","당진영덕선","054-873-5911","A00255","청송(청주)휴게소","드롭탑 외 1","0300","000503","","X","X"
"179","춘천","강원도 홍천군 북방면소매곡리 294","중앙선","033-435-1201","A00027","홍천강(춘천)휴게소","카페베네 외 2","0550","000213","","X","X"
"180","춘천","강원도 원주시 신림면금창리 500-55","중앙선","033-762-8030","A00029","치악(춘천)휴게소","할리스 외 2","0550","000218","","X","X"
